Etapa PRISMA,Número de artigos
Registros identificados (total),720
DOI ausente,0
Falha técnica (API/download),139
Registros após triagem técnica,581
Texto completo disponível,69
Apenas resumo analisado,651
Estudos incluídos (PRISMA),68
Estudos excluídos,652
